Nome atribuído,Estágio da Instrução (Portaria 11/86),CÓDIGO IPHAN
"Remanescentes da antiga Vila Colonial, particularmente a Igreja Matriz, compreendendo as obras de talha e imagens antigas",TOMBADO,AL2707305BICA00001,
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3131901BIED00001,
"Casa de sobrado, com teto pintado, à Avenida Dr. Altino Arantes, 32",TOMBADO,SP3550704BIED00001,
Remanescentes de caminhos: 1. Caminho do Mar; 2. Caminho do Padre José; 3. Calçada de Lorena,TOMB. PROVIS.,SEM CADASTRO SICG?,
"Casa à Praça da Matriz, 19 e 25",TOMBADO,SP3547304BIED00001,
"Calçamento de Pedra, antigo, da rua da Ladeira, abrangendo o trecho situado entre a esquina da rua Andrade Neves e a praça da Matriz",TOMBADO,RS4315701BICU00001,
Casa de Câmara e Cadeia,TOMBADO,SP3504107BIED00001,
"Campos das batalhas de Guararapes, atual Parque Histórico Nacional dos Guararapes",TOMBADO,PE2607901PSPS00001,
Sambaqui situado acerca de 1000 metro da Barra do Rio Itapitangui,TOMBADO,SP3509908BIED00001,
Santuário de Nossa Senhora da Piedade: conjunto arquitetônico e paisagístico,TOMBADO,MG3110004BICA00001,
Fazenda Resgate: casa,TOMBADO,SP3504909BIED00001,
Obelisco Republicano,TOMBADO,RS4314407BIED00001,
Forte Defensor Perpétuo,TOMBADO,RJ3303807BIED00006,
"Lugar em que estiveram sepultados o Guia Lopes, o Coronel Camisão e o Tenente Coronel Juvêncio ",TOMBADO,MS5005004PSJD00001,
Parque Henrique Lage (Conjunto Paisagístico),TOMBADO,RJ3304557PSPS00003,
"Antiga Casa de Câmara e Cadeia na Praça dos Andradas, inclusive a área arborizada que a ambienta",TOMBADO,SP3548500BICA00001,
Capela de Santo Antônio do Pompeu,TOMBADO,MG3156700BIED00001,
Igreja Matriz de Nossa Senhora do Rosário,TOMBADO,CE2301109BIED00002,
Fortaleza do Barbalho,TOMBADO,BA2927408BIED00053,
Fortaleza de São Pedro,TOMBADO,BA2927408BIED00044,
Fortaleza do Monte Serrat,TOMBADO,BA2927408BICU00010,
Estação de Hidroaviões,TOMBADO,RJ3304557BIED00091,
Igreja da Sé de Santana,TOMB. APROV., MT5103403BMAC00001,
Retábulos da Catedral de N.S. Bom Jesus,HOMOLOGADO,MT5103403BMAC00001 ,
"Retábulo da Capela da Venerável Ordem Terceira de São Francisco da Penitência, da Igreja de Santo Antônio do Valongo",TOMBADO,SP3548500BMAC00001,
"Casa à Praça da Matriz, 9",TOMBADO,SP3547304BIED00001,
Capela de Nossa Senhora da Escada,TOMBADO,BA2927408BIED00006,
"Município de Paraty (nome original: Conjunto arquitetônico e paisagístico da cidade de Paraty e, separadamente, o edifício da Santa Casa)",TOMBADO,RJ3303807BICU00003,
"Casa grande e capela da antiga Fazenda de São Bento, abrangendo a área de terrenos incluídos num raio de 100 metros das edificações",TOMBADO,RJ3301702BICA00001,
"Conjunto Paisagístico e Urbanístico da Cidade de Vassouras, demarcado no processo,  constituído de construções públicas e particulares, incluindo calçamento e arborização.",TOMBADO,RJ3306206BICU00001,
Fazenda da Boa Esperança: casa,TOMBADO,MG3106408BIED00001,
"Casa à Praça da República, 197, onde residiu o Marechal Deodoro da Fonseca",TOMBADO,RJ3304557BIED00089,
Igreja de Nossa Senhora das Neves,TOMBADO,BA2927408BIED00040,
Igreja Matriz de Santiago,TOMBADO,BA2904902BIED00001,
Fazenda do Pau d'Alho: casa,TOMBADO,SP3549607BIED00001,
"Casa à Rua Monte Alegre, 255 onde faleceu Benjamin Constant e respectiva área desapropriada pela Constituição de 1891, atual Museu Benjamin Constant",TOMBADO,RJ3304557BIED00058,
"Coleção de silhares de azulejos oriundos do Palacete Aguiar e instalados na sede da Reitoria da Universidade da Bahia, à rua Algusto Viana, s/nº",TOMBADO,BA2927408BMCL00001,
"Casa à Avenida Quintino Bocaiúva, 145",TOMBADO,RJ3303302BIED00007,
"Casa na Praça Santo Antônio, 94 antiga sede da fazenda Sete Lagoas",TOMBADO,MG3167202BIED00001,
Arco e oratório de Nossa Senhora da Boa Esperança localizados nos fundos da Igreja de Nossa Senhora do Carmo,TOMBADO,RJ3304557BMAC00004,
Conjunto paisagístico do pico e da parte mais alcantilada da Serra do Curral,TOMBADO,MG3106200PSPS00001,
Sobradão do Porto,TOMBADO,SP3555406BIED00001,
Igreja de São Francisco  (Ordem Terceira),HOMOLOGADO,SEM CADASTRO SICG?,
Igreja de São Francisco e Convento  (Ordem Primeira),HOMOLOGADO,SEM CADASTRO SICG?,
Catetinho,TOMBADO,DF5300108BIED00018,
Casa de Câmara e Cadeia,TOMBADO,CE2303709BIED00002,
"Casa de Câmara e Cadeia ou Paço Municipal de Pitangui, Rua José Gonçalves, nº 29",TOMBADO,MG3151404BIED00001,
Casa na Avenida Getúlio Vargas  Sobradão do Foro,TOMBADO,MG3141801BIED00002,
"Casas à Avenida Pedro II, 199 e 205",TOMBADO,MA2111300BIED00006,
Fonte das Pedras,TOMBADO,MA2111300BIED00004,
Igreja de Nossa Senhora do Rosário,TOMBADO,GO5211800BIED00001,
"Túmulos do Dr. Peter Wilhen Lund e de seus colaboradores Pedro Andreas Brandt, Guilherme Behrens e João Rodolfo Müller, e mais o pequeno cemitério em que se acham situados",TOMBADO,MG3137601BICA00001,
Igreja Matriz de São Bartolomeu,TOMBADO,MG3146107BIED00031,
Gruta de Mangabeira,TOMBADO,BA2917201PSPS00001,
Lavatório da Igreja de Nossa Senhora da Boa Viagem,TOMBADO,MG3106200BMAR00001,
Palácio de Cristal e Praça da Confluência,TOMBADO,RJ3303906BICA00002,
"Casa à Praça Marechal Deodoro ou Rua Bernardo Gomes, conhecida como casa de Casimiro de Abreu",TOMBADO,RJ3301306BIED00001,
Edifício Sede da Escola Nacional de Engenharia (Largo de São Francisco ),TOMBADO,RJ3304557BIED00100,
Igreja Matriz de São João Batista,TOMBADO,RJ3301900BIED00003,
"Chácara do Visconde, ou casa de Monteiro Lobato, situada entre a Rua Guaratinguetá e a Avenida Campinas, abrangendo uma área de 9.996 m², em parte arborizada, limitada aos fundos pela Rua Guaraperanga e à frente por uma rua projetada, paralela à mesma rua",TOMBADO,SP3554102BIED00001,
Convento Carmelita: ruínas e Igreja de Nossa Senhora de Nazaré,TOMBADO,PE2602902BICA00001,
Igreja de Nossa Senhora de Nazaré de Camamú,TOMBADO,BA2922508BIED00003,
Igreja de Nossa Senhora da Conceição,TOMBADO,BA2922508BIED00004,
"Sobrado à Travessa da Capela, 2, conhecida como Solar Ataíde",TOMBADO,BA2922508BIED00002,
Igreja Matriz de Nossa Senhora de Nazaré,TOMBADO,BA2922508BIED00001,
Capela de Nossa Senhora da Cabeça,TOMBADO,RJ3304557BIED00092,
Conjunto arquitetônico do Antigo Horto Florestal da cidade do Rio de Janeiro,TOMBADO,RJ3304557BICA00006,
Forte de Nossa Senhora dos Remédios,TOMBADO,PE2611606BIED00001,
Igreja Matriz de Santo Antônio,TOMBADO,MG3147006BIED00002,
Igreja de Nossa Senhora do Rosário ,TOMBADO,MG3147006BIED00001,
"Casa à rua Vinte e Oito de Setembro, 8",TOMBADO,BA2927408BIED00015,
Capela de São Pedro Advíncula ,TOMBADO,PE2609600BIED00001,
"Edifício do antigo Aljube, na rua 13 de Maio, atual Museu de Arte Sacra",TOMBADO,PE2609600BIED00004,
"Teatro Sete de Abril, Praça Coronel Pedro Osório, nº 160",TOMBADO,RS4314407BIED00003,
Colégio Militar do Rio de Janeiro: pavilhão de comando (Casa: São Francisco Xavier),TOMBADO,RJ3304557BIED00080,
"Casa à Rua da Ajuda, nº 1, denominada Casa do Ouvidor",TOMBADO,BA2917805BIED00003,
Forte do Castelo,TOMBADO,PA1501402BIED00003,
"Casa na Rua Colares Moreira, 84 , Sede da Academia Maranhense",TOMBADO,MA2111300BIED00007,
Casa natal de José de Alencar,RERRATIFIC.,CE2304400BIED00001,
Teatro José de Alencar,TOMBADO,CE2304400BIED00004,
"Conjunto Constituído pela Fortaleza de Nossa Senhora da Assunção, com o Material de Artilharia Composto pelos Canhões de n. 01 a 06, e pelo Antigo Quartel da Guarnição do Ceará, Atual Quartel da 10ª RM",TOMBADO,CE2304400BIED00003,
"Igreja de Nossa Senhora da Conceição, com todo o seu recheio",TOMBADO,CE2300200BIED00001,
Prédio da antiga Casa de Câmara e Cadeia na Praça da Matriz,TOMBADO,CE2305407BIED00001,
"Igreja Matriz de Nossa Senhora dos Remédios, e respectivas imagens e alfaias",TOMBADO,RJ3303807BIED00005,
"Igreja de Santa Rita, e respectivas imagens e alfaias",TOMBADO,RJ3303807BIED00004,
"Igreja de Nossa Senhora das Dores, e respectivas imagens e alfaias",TOMBADO,RJ3303807BIED00002,
"Igreja de Nossa Senhora do Rosário, e respectivas imagens e alfaias",TOMBADO,RJ3303807BIED00003,
Cemitério Protestante,TOMBADO,SC4209102BICA00001,
Avenida Koeler: conjunto urbanopaisagístico,RERRATIFIC.,RJ3303906BICU00001,
"Imagens, 13: Nossa Senhora das Candeias (02), Santos Reis Magos (02 conjuntos), Senhor Morto (02), Nossa Senhora das Dores e Nossa Senhora da Conceição (02)",TOMBADO,RN2408102BMAC00001,
Casa de Câmara e Cadeia: ruínas,TOMBADO,RN2415008BIED00001,
Engenho do Cunhau: ruínas da capela,TOMBADO,RN2402204BIED00001,
"Imagens, 02: Santana e Nossa Senhora do Rosário",TOMBADO,RN2402006BMAC00001,
Portão do Cemitério de Arês,TOMBADO,RN2401206BMAC00001,
"Casa à Rua da Conceição, 601, atual Museu Histórico",TOMBADO,RN2408102BIED00001,
Teatro da Paz,TOMBADO,PA1501402BIED00015,
Catedral Metropolitana,TOMBADO,DF5300108BIED00022,
Acervo arquitetônico e urbanístico da cidade de Olinda,TOMBADO,PE2609600BICU00001,
Igreja de Nossa Senhora do Amparo,TOMBADO,SE2806701BIED00006,
Engenho dos Erasmos: ruínas,TOMBADO,SP3548500BIED00002,
"Casa à Praça Rio Branco, 35",TOMBADO,SE2802106BIED00001,
"Marco Quinhentista, na praia do Marco",TOMBADO,RN2414407BIED00001,
"Casa à Praça Marechal Floriano Peixoto, nº 16, antiga casa do Visconde de Itaborai, atual Forum",TOMBADO,RJ3301900BIED00001,
"Casa à Avenida  2, nº  572,  esquina com rua 7, Sobrado do Barão de Dourados",TOMBADO,SP3543907BIED00001,
"Rua Carneiro de Campos, Sodré e Travessa Aquino Gaspar: conjunto arquitetônico",TOMBADO,BA2927408BICA00004,
"Casa à Rua das Palmeiras, 55, atual Museu do Índio",TOMBADO,RJ3304557BIED00081,
"Casa à Praça Quinze de Novembro, nº 101 (antigo Convento do Carmo), atual sede da Academia de Comércio",TOMBADO,RJ3304557BIED00085,
Ruínas do Convento de São Boaventura na Fazenda Macacu,TOMBADO,RJ3301900BIED00002,
Teatro Amazonas,TOMBADO,AM1302603BIED00002,
"Casa que pertenceu ao Visconde de Pelotas, na Rua Duque de Caxias, número novecentos e sessenta e oito",TOMBADO,RS4314902BIED00001 ,
"Edifício do antigo Hospital Militar, na Praça Frei Caetano Brandão, exlargo da Sé",TOMBADO,PA1501402BIED00004,
"Antigo Palácio do Governo, atual Palácio Lauro Sodré, sede do Governo do Estado",TOMBADO,PA1501402BIED00012,
Igreja Matriz de Nossa Senhora da Piedade e seu acervo móvel e integrado,TOMBADO,MG3105608BIED00002,
"Casa à avenida General Gabino Bezouro, nº 12, ""Casa de Graciliano Ramos""",TOMBADO,AL2706307BIED00001,
"Casa onde viveu e faleceu o Presidente Prudente de Moraes, englobando edificação, terreno e anexos localizados no endereço citado, bem como o acervo listado nos autos do processo",TOMBADO,SP3538709BIED00001,
"Sobrado azulejado à Praça Cairú, nº19",TOMBADO,BA2927408BIED00024,
"Casa à Rua Sorocaba, 200 (Sede do Museu VillaLobos)",TOMBADO,RJ3304557BIED00060,
"Edifício da antiga Estação Rodoviária de Paraibuna, Estrada União Indústria",TOMBADO,RJ3300951BIED00001,
Igreja de Nossa Senhora do Rosário ,TOMBADO,MG3106507BIED00002,
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3106507BIED00001,
Igreja de São José,TOMBADO,MG3141801BIED00001,
Igreja Matriz de Nossa Senhora do Carmo,TOMBADO,RJ3301207BIED00001,
"Casa à Rua Pedro II, nº 215, conhecida como ""Casa Azul""",TOMBADO,MG3156700BIED00002,
Área onde se encontram os remanescentes da Real Fábrica de Ferro de Ipanema,TOMBADO,SP3521002BICA00001,
"Edifíciosede do Museu Antônio Parreiras, à rua Tiradentes, nº 47, em Niterói, incluindo toda a área arborizada integrante da mesma propriedade, com as dimensões e confrontações constantes da planta que instruiu o processo",TOMBADO,SEM CADASTRO SICG?,
Casa de Câmara e Cadeia,TOMBADO,RN2400109BIED00001,
Igreja de Nossa Senhora do Rosário,TOMBADO,RN2400109BIED00002,
Igreja de São Gonçalo,TOMBADO,RN2412005BIED00001,
Igreja do Bom Jesus,TOMBADO,RJ3304557BIED00025,
"Edifício à rua Regente Feijó, esquina da rua Ferreira Penteado, conhecido como Palácio dos Azulejos",TOMBADO,SP3509502BIED00001,
Casa de Rodrigues Alves,TOMBADO,SP3518404BIED00001,
"Conjunto Arquitetônico, Urbanístico e Paisagístico da Praça Frei Caetano Brandão, Exlargo da Sé ; Largo da Sé (Antigo) (Belém, PA)",TOMBADO,PA1501402BICA00005,
Igreja de Nossa Senhora da Corrente ,TOMBADO,AL2706703BIED00003,
Igreja de São Gonçalo Garcia,TOMBADO,AL2706703BIED00002,
Casa natal do Marechal Deodoro da Fonseca,TOMBADO,AL2704708BIED00002,
"Casa à Rua das Palmeiras, 35",TOMBADO,RJ3304557BIED00082,
"Área do Passeio Público, Antiga Praça dos Mártires",TOMBADO,CE2304400BICU00001,
Casa de Câmara e Cadeia,TOMBADO,CE2311405BIED00001,
Fazenda da Babilônia: casa e dependências,TOMBADO,GO5217302BICA00001,
Aterro do Flamengo,TOMBADO,RJ3304557PSJD00004,
"16 imagens representando a morte de Nossa Senhora da Boa Morte, conservadas na Capela de São José",TOMBADO,RN2402204BMAC00001,
"Imagens, 08: Nossa Senhora das Dores, São Pedro, Santana Mestra, São Joaquim, Nossa Senhora da Conceição, Jesus ressuscitado, Nossa Senhora do Rosário com menino Jesus,  São Sebastião e lavabo",TOMBADO,RN2412203BMAR00001,
"Edifício de dois pavimentos com frontaria azulejada na Rua do Comércio, 94/96 e 98",TOMBADO,SP3548500BIED00004,
Forte de São Felipe,TOMBADO,SP3518701BIED00001,
"Parque à Rua Marechal Deodoro, 365",TOMBADO,SC4209102PSPS00001,
Casa do Sítio Mirim,TOMBADO,SP3550308BIED00010,
"Cabo Frio, RJ: conjunto paisagístico",TOMBADO,RJ3300704BICU00001,
"Palácio do Govêrno, à Praça Sete de Setembro",TOMBADO,RN2408102BIED00011,
Igreja de Nossa Senhora do Rosário dos Pretos,TOMBADO,PE2611606BIED00010,
Igreja de Nossa Senhora do Pilar,TOMBADO,PE2611606BIED00026,
Parque Nacional da Tijuca e Florestas de proteção  acima das cotas de oitenta e cem metros,RERRATIFIC.,RJ3304557PSPS00002,
Casa de Câmara e Cadeia,TOMBADO,RJ3305000BIED00001,
"Casa à rua Marechal Floriano, onde funciona a Alfândega",TOMBADO,RS4315602BIED00001,
"Casa à Rua Barão de Itaim, edifíciosede do Museu Republicano Convenção de Itu",TOMBADO,SP3523909BIED00001,
"Duas pinturas sobre tábuas ovais, atribuídas a Leandro Joaquim, representando o incêndio e  reconstrução do Recolhimento de Nossa Senhora do Parto",TOMBADO,RJ3304557BMCL00003,
Igreja Matriz de Nossa Senhora da Guia,TOMBADO,RJ3302601BIED00001,
Mosteirinho de São Francisco,TOMBADO,PE2610608BIED00001,
"Mausoléu da família do Barão de Cajaíba, notadamente a estátua da Fé, autoria de Johann von Halbig, que encima o referido mausoléu",TOMBADO,BA2927408BIED00027,
"Sobrado Grande da Madalena, à Praça João Alfredo, atual Museu da Abolição, Rua Benfica 1.150",TOMBADO,PE2611606BIED00031,
"São Cristovão, SE: conjunto arquitetônico, urbanístico e paisagístico",TOMBADO,SE2806701BICU00001,
"Casa à Rua José Marcelino, 203205",TOMBADO,ES3205309BIED00004,
"Casa à rua José Marcelino, 197",TOMBADO,ES3205309BIED00005,
"Fazenda Santa Eufrásia com seus bosques e parque secular, inclusive a edificação da sede com o respectivo mobiliário e objetos antigos.",RERRATIFIC.,RJ3306206BICA00001,
Convento e Igreja da Ordem Primeira do Carmo e Igreja da Ordem Terceira do Carmo,TOMBADO,SP3530607BICA00001,
"Casa natal de Oliveira Lima, à rua Oliveira Lima, nº  813, antiga Corredor dos Bispos",TOMBADO,PE2611606BIED00005,
"Sobrado à Praça General Osório, 19",TOMBADO,RJ3300100BIED00008,
"Sobrado à Praça General Osório, 35",TOMBADO,RJ3300100BIED00010,
"Sobrado à Praça General Osório, s/n",TOMBADO,RJ3300100BIED00011,
"Sobrado à Praça General Osório, 3 a 13",TOMBADO,RJ3300100BIED00009,
"Prédio sito à Avenida Rui Barbosa, nº 1596,  Academia Pernambucana de Letras",TOMBADO,PE2611606BIED00018,
"Município de Porto Seguro, em especial o Monte Pascoal (Obs: Inclui o Conjunto arquitetônico e Paisagístico da Cidade Alta de Porto Seguro)",TOMBADO,BA2925303PSPS00001,
Casa de Cândido Portinari,TOMBADO,SP3507803BIED00001,
"Retábulo e imagem de Nossa Senhora do Amor Divino, assim como a mesa de comunhão, duas credências e o arcaz da sacristia, que pertenceram à capela da antiga casa situada à rua Castro Alves nº 182, em Correias, atualmente incorporadas à igreja matriz",TOMBADO,RJ3303906BMAC00001,
Coleção de arte que constitui o Museu de Arte Assis Chateaubriand,RERRATIFIC.,SP3550308BMCL00002,
"Vila de São Miguel: conjunto arquitetônico e paisagístico: Igreja, Aqueduto, Carioca",TOMBADO, SC4202305BICA00001,
Sobrado (Museu Etnográfico),TOMBADO,SC4202305BIED00001,
"Conjunto arquitetônico e paisagístico ""VeroPeso"" e áreas adjacentes, Praça Pedro II e Boulevard Castilhos França, inclusive o Mercado de Carne e o Mercado Bolonha de Peixe",TOMBADO,PA1501402BICA00001,
Povo de São João: ruínas e remanescentes do Povoado,TOMBADO,RS4306932BICA00001,
Povo de São Lourenço das Missôes: ruínas e remanescentes do povoado,TOMBADO,RS4318903BICU00001,
Povo de São Nicolau: ruínas e remanescentes,TOMBADO,RS4319208BICA00001,
Fazenda de Nossa Senhora da Conceição do Registro do Caminho Novo: capela,TOMBADO,MG3140803BIED00001,
Imagem de Nossa Senhora do Rosário,TOMBADO,RJ3300100BMAR00001,
Mambucaba: conjunto arquitetônico e paisagístico,TOMBADO,RJ3300100BICA00001,
Coleção de Arte Sacra da Curia Metropolitana de São Paulo,TOMBADO,SP3550308BMCL00001,
Igreja de Santana do Basílio,TOMBADO,RJ3304300BIED00001,
"Imagem de Nossa Senhora das Dores com características marcantes da obra de Antônio Francisco Lisboa, o Aleijadinho / Imagem de São José, do Século XVIII, de 0,35m de altura, de autoria de Antônio Francisco Lisboa, o Aleijadinho",TOMBADO,SP3550308BMAR00001,
"Imagem de Sant´Ana, com 69,5 cm de altura total, de autoria de Antônio Francisco Lisboa, o Aleijadinho (Séc. XVIII)",TOMBADO,RJ3304557BMAR00007,
"Imagem de barro cozido, representando Nossa Senhora da Purificação, com 0,48m de altura, datada de 1641, procedente do Estado da Bahia, atribuída a Frei Agostinho de Jesus (Séc. XVII)",TOMBADO,SP3550308BMAC00004,
"Casa à Rua do Russel, 734",TOMBADO,RJ3304557BIED00079,
"Forte: São José, Reduto S. Teodósio e muralhas do Forte da Entrada (na área da Fortaleza de São JoãoUrca)",TOMB. APROV.,SEM CADASTRO SICG?,
Casa na Praça do Erário onde funciona a agência dos Correios,TOMBADO,PB2507507BIED00008,
Museu de Arte Contemporânea: acervo,TOMBADO,SP3550308BMAC00002,
Fazenda do Pombal: remanescentes,TOMBADO,MG3156106BIED00001,
Praça Getúlio Vargas: conjunto arquitetônico e paisagístico,TOMBADO,RJ3303401BICU00001,
Igreja de São José de Itapanhoacanga,TOMBADO,MG3102407BIED00001,
"Cachoeira, BA: conjunto arquitetônico e paisagístico",TOMBADO,BA2904902BICU00001,
Imagem de São Francisco de Paula / Aleijadinho,TOMBADO,MG3100302BMAR00001,
Fazenda do Rio São João: casa,TOMBADO,MG3107703BIED00001,
"Lençóis, BA: conjunto arquitetônico e paisagístico",TOMBADO,BA2919306BICA00001,
Igreja Matriz de Santana: fachadas,TOMBADO,CE2305506BIED00001,
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,RJ3303856BIED00001,
"Casa à Rua Mayrink Veiga, 9",TOMBADO,RJ3304557BIED00057,
"Casa à Rua da Quitanda, 61",TOMBADO,RJ3304557BIED00083,
"Prédio do MEC/ Palácio Capanema  Edifício na rua da Imprensa, 16, com toda a área de terreno situada entre as ruas da Imprensa e de Santa Luzia, a avenida Graça Aranha  e a rua Araujo Porto Alegre, necessária a preservação de sua perspect (BEM FILHO)",Tombado (bem filho),RJ3304557BIED00008,
"Conjunto Arquitetônico da Avenida Central: Edifício da Antiga Caixa de Amortização, Biblioteca Nacional, Museu Nacional de Belas Artes, Teatro Municipal.",TOMBADO,RJ3304557BIED00098,
"Antigo edifício da Assembléia Provincial, atual sede da Assembléia Legislativa Estadual",TOMBADO,CE2304400BIED00005,
Igreja do Divino Espírito Santo,TOMBADO,PE2611606BIED00014,
Corcovado,TOMBADO,RJ3304557PSPS00015,
Morro Cara de Cão,TOMBADO,RJ3304557PSPS00008,
Morro da Babilônia ,TOMBADO,RJ3304557PSPS00007,
Morro da Urca,TOMBADO,RJ3304557PSPS00006,
Morro Dois Irmãos,TOMBADO,RJ3304557PSPS00004,
Pão de Açúcar,TOMBADO,RJ3304557PSPS00005,
Pedra da Gávea,TOMBADO,RJ3304557PSPS00001,
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3152709BIED00002,
"Ruínas da Igreja da Matriz de Vila Bela da Santíssima Trindade, situadas na quadra  delimitada pela Rua Municipal ou dos Mercadores, pela Travessa do Palácio, pela Rua Dr. Mário Correa ou do Fogo e pela Travessa n. 4, ou de Trás do Palácio, e Ruínas do Palácio dos Capitães Generais",TOMBADO,MT5105507BIED00001,
Lagoa Rodrigo de Freitas: conjunto paisagístico,RERRATIFIC.,RJ3304557PSPS00009,
Prédio da casa de câmara e cadeia na Rua Liberato Barroso esquina com a Praça da Independência,TOMBADO,CE2301109BIED00001,
Praça da Matriz: conjunto arquitetônico e Museu Municipal de Arte e História: prédio,TOMBADO,MG3144706BICA00001,
Fazenda Santa Mônica: casa,TOMBADO,RJ3306107BIED00001,
Mercado de São José,TOMBADO,PE2611606BIED00015,
Solar da Baronesa de Muriaé,TOMBADO,RJ3301009BIED00005,
"Rio de Contas, BA: conjunto arquitetônico",TOMBADO,BA2926707BICA00001,
"Sobrado na Praça Dr. Fernando Abott, que em 1845 hospedou D. Pedro II",TOMBADO,RS4318309BIED00001,
Lavabo do Convento de Santo Antônio de Paraguassú,TOMBADO,BA2904902BMAR00001,
Casa da Praça Terreiro de Jesus  Prédio da Antiga Faculdade de Medicina da Bahia,TOMBADO,BA2927408BIED00095,
"Prédio localizado na Estrada do Açude, nº 764 e respectivos acervos histórico e artístico",TOMBADO,RJ3304557BIED00109,
"Prédio localizado à rua Murtinho Nobre, nº 93, conhecido como"" Chácara do Céu"", e respectivos acervos histórico e artístico",TOMBADO,RJ3304557BIED00053,
"Solar do Jambeiro   Rua Presidente Domiciano, nº 195 e seu respectivo parque arborizado",TOMBADO,RJ3303302BICA00004,
"Pinturas, 14 / Portinari",TOMBADO,SP3505906BMCL00001,
Fazenda Ponte Alta: casa,TOMBADO,SP3542305BIED00001,
Fazenda da Conceição: casa,TOMBADO,SP3535606BIED00001,
"Prédio na rua Conselheiro Mafra, que foi sede da antiga Alfândega e da Delegacia da Receita Federal",TOMBADO,SC4205407BIED00010,
Conjunto de Edificações Que Compõem o Forte de Coimbra ; Presídio de Nova Coimbra (Antigo) ,RERRATIFIC.,MS5003207BIED00001,
Igreja de Nossa Senhora do Terço,TOMBADO,PE2611606BIED00029,
Igreja de São José do Ribamar,TOMBADO,PE2611606BIED00012,
"Prédios números 2, 6 e 8, formando um conjunto arquitetônico, situados na Praça Coronel Pedro Osório",TOMBADO,RS4314407BICA00001,
Fortaleza de Santo Antônio: remanescentes,TOMBADO,MA2111300BIED00002,
Casa do Padre Belchior na Rua Padre belchior n 85,TOMBADO,MG3151404BIED00002,
"Palacete Gentil Braga   Rua Oswaldo Cruz, nº 782 (esquina com a Rua do Passeio) ",TOMBADO,MA2111300BIED00009,
Arraial novo do Bom Jesus,TOMBADO,PE2611606BIED00039,
Fortaleza de Nossa Senhora da Conceição de Araçatuba,HOMOLOGADO,SC4205407BIED00004,
Estação da Luz,TOMBADO, SP3550308BIED00003,
Igreja: Positivista do Brasil,TOMBADO,RJ3304557BIED00002,
Escola de Enfermagem Ana Neri: pavilhão de aulas,TOMBADO,RJ3304557BIED00095,
"Sabre de Honra do General Osório, Marquês de Herval",TOMBADO,RJ3304557BMAR00002,
"Marco do Jaurú, na Praça Barão do Rio Branco",TOMBADO,MT5102504BMAR00001,
"Casa: Rui Barbosa (Praça),55",TOMB. APROV.,RJ3303906BIED00025,
"Casa: Rui Barbosa (Praça),56 (BEM FILHO)",Tombado (bem filho),RJ3303906BMCL00003,
"Icó, CE: conjunto arquitetônico e urbanístico",TOMBADO,CE2305407BICU00002,
"Aracati, CE: conjunto arquitetônico e paisagístico",TOMBADO,CE2301109BICU00001,
"Prédio onde funciona a Faculdade de Direito do Recife, na Praça Adolfo Cirne s/nº",TOMBADO,PE2611606BIED00019,
"Prédio na Rua do Imperador (exJerônimo Gonçalves) nº 1, conhecido como ""Solar do Conde de Subaé""",TOMBADO,BA2928604BIED00002,
"Conjunto arquitetônico, urbanístico e paisagístico, inclusive a Igreja Matriz do Santíssimo Sacramento",TOMBADO,BA2916104BICU00001,
"Conjunto arquitetônico e paisagístico, especialmente o cemitério, da cidade de Mucugê",TOMBADO,BA2921906BICA00001,
"Prédio localizado na Av. Sete de Setembro, nº 401, ou Ladeira da Barra",TOMBADO,BA2927408BIED00028,
"Prédio na Av. Rio Branco, nº 46, sede da Companhia Docas de Santos",TOMBADO,RJ3304557BIED00051,
"Edifício do Hospital São Francisco de Assis, Pavilhões Originais na Av. Presidente Vargas, 2863",TOMBADO,RJ3304557BIED00099,
Grutas do Lago Azul e de Nossa Senhora Aparecida,TOMBADO,MS5002209PSPS00001 ,
Igreja de Nossa Senhora dos Remédios,TOMBADO,PE2611606BIED00002,
"Prédio do Asilo D. Pedro II na  Av. Luís Tarquínio, nº 18, antigo Palacete Machado",TOMBADO,BA2927408BIED00005,
"Prédio conhecido como ""Casa dos Carvalhos"", na Avenida Princesa Leopoldina nº 2, inclusive suas áreas externas",TOMBADO,BA2927408BIED00031,
"Conjunto Urbano Formado Pela Quadra Existente Entre As Ruas da Constituição e Luis de Camões, composta pelos prédios de números 5, 5A, 5B e 7 da Rua Gonçalves Ledo e o número 11 da mesma rua, esquina com a Rua Luis de Camões.",TOMBADO,RJ3304557BICU00001,
"Prédio conhecido como ""Solar Amado Bahia"", na Rua Porto dos Tanheiros, nº 80",TOMBADO,BA2927408BIED00065,
"Imagem de Nossa Senhora da Escada, da Capela da Aldeia de Barueri",TOMBADO,SP3505708BMAR00001,
"Hangar de Zepelins do Aeroporto Bartolomeu de Gusmão, inclusive as pontes rolantes, os elevadores, as escadas de acesso, o motor, o mecanismo de abertura das portas principal e secundária, e a estação de passageiros anexa",TOMBADO,RJ3304557BIOE00002,
 Museu Mariano Procópio,HOMOLOGADO,SEM CADASTRO SICG?,
